"","Accession","n","Protein.Group","Description","codes","B1","B2","B3","B5","B6","B4"
"606","tr|E8WVB2|E8WVB2_GRATM",4,1161,"Uncharacterized protein OS=Granulicella tundricola (strain ATCC BAA-1859 / DSM 23138 / MP5ACTX9) OX=1198114 GN=AciX9_0213 PE=4 SV=1",1198114,6,2,NA,7,12,NA
"607","tr|E8WVD9|E8WVD9_GRATM",7,383,"60 kDa chaperonin OS=Granulicella tundricola (strain ATCC BAA-1859 / DSM 23138 / MP5ACTX9) OX=1198114 GN=groL PE=3 SV=1",1198114,18,12,18,4,25,4
"608","tr|E8WXW5|E8WXW5_GRATM",4,1381,"Cold-shock DNA-binding domain protein OS=Granulicella tundricola (strain ATCC BAA-1859 / DSM 23138 / MP5ACTX9) OX=1198114 GN=AciX9_2787 PE=4 SV=1",1198114,4,NA,6,9,4,NA
"609","tr|E8WYS0|E8WYS0_GRATM",4,1805,"Phosphate-binding protein OS=Granulicella tundricola (strain ATCC BAA-1859 / DSM 23138 / MP5ACTX9) OX=1198114 GN=AciX9_1708 PE=3 SV=1",1198114,7,NA,2,5,2,NA
"610","tr|E8X3Q6|E8X3Q6_GRATM",2,3024,"TonB-dependent receptor plug OS=Granulicella tundricola (strain ATCC BAA-1859 / DSM 23138 / MP5ACTX9) OX=1198114 GN=AciX9_2296 PE=4 SV=1",1198114,2,NA,NA,NA,NA,2
"611","tr|E8X7I1|E8X7I1_GRATM",6,901,"Cna B domain protein OS=Granulicella tundricola (strain ATCC BAA-1859 / DSM 23138 / MP5ACTX9) OX=1198114 GN=AciX9_4469 PE=4 SV=1",1198114,8,2,3,10,7,6
"612","tr|F1YT78|F1YT78_9PROT",5,1327,"Outer membrane protein OS=Acetobacter pomorum DM001 OX=945681 GN=yiaD PE=4 SV=1",945681,3,4,8,4,6,NA
"613","tr|F5UB17|F5UB17_9CYAN",2,2803,"Potassium-transporting ATPase ATP-binding subunit OS=Microcoleus vaginatus FGP-2 OX=756067 GN=kdpB PE=3 SV=1",756067,NA,2,3,NA,NA,NA
"614","tr|F5UCR3|F5UCR3_9CYAN",8,343,"ATP synthase subunit alpha OS=Microcoleus vaginatus FGP-2 OX=756067 GN=atpA PE=3 SV=1",756067,5,9,8,7,6,NA
"615","tr|F5UCS9|F5UCS9_9CYAN",3,1142,"Two component transcriptional regulator  winged helix family OS=Microcoleus vaginatus FGP-2 OX=756067 GN=MicvaDRAFT_3963 PE=4 SV=1",756067,NA,9,NA,NA,NA,NA
"616","tr|F5UG82|F5UG82_9CYAN",4,1515,"DNA-directed RNA polymerase subunit beta' OS=Microcoleus vaginatus FGP-2 OX=756067 GN=rpoC2 PE=3 SV=1",756067,NA,7,2,NA,NA,NA
"617","tr|F5UM86|F5UM86_9CYAN",4,505,"Microcompartments protein OS=Microcoleus vaginatus FGP-2 OX=756067 GN=MicvaDRAFT_0633 PE=3 SV=1",756067,NA,NA,3,NA,NA,NA
"618","tr|F5UMC9|F5UMC9_9CYAN",4,1280,"30S ribosomal protein S9 OS=Microcoleus vaginatus FGP-2 OX=756067 GN=rpsI PE=3 SV=1",756067,2,NA,NA,NA,NA,NA
"619","tr|F5UP33|F5UP33_9CYAN",4,1543,"Photosystem II CP47 reaction center protein OS=Microcoleus vaginatus FGP-2 OX=756067 GN=psbB PE=3 SV=1",756067,NA,5,4,NA,NA,NA
"620","tr|F7VEG3|F7VEG3_9PROT",5,1327,"Outer membrane protein OmpA OS=Acetobacter tropicalis NBRC 101654 OX=749388 GN=ATPR_1762 PE=4 SV=1",749388,3,4,8,4,6,NA
"621","tr|G5JCS8|G5JCS8_CROWT",2,2756,"Global nitrogen regulatory protein OS=Crocosphaera watsonii WH 0003 OX=423471 GN=CWATWH0003_5228 PE=4 SV=1",423471,NA,2,NA,NA,NA,NA
"622","tr|G6FTS0|G6FTS0_9CYAN",3,1249,"DNA-directed RNA polymerase subunit gamma OS=Fischerella thermalis OX=372787 GN=rpoC1 PE=3 SV=1",372787,NA,6,NA,NA,NA,NA
"623","tr|G6FXP5|G6FXP5_9CYAN",3,1142,"Two component transcriptional regulator  winged helix family OS=Fischerella thermalis OX=372787 GN=FJSC11DRAFT_3644 PE=4 SV=1",372787,NA,9,NA,NA,NA,NA
"624","tr|G8NVA5|G8NVA5_GRAMM",4,1381,"Cold-shock DNA-binding domain protein OS=Granulicella mallensis (strain ATCC BAA-1857 / DSM 23137 / MP5ACTX8) OX=682795 GN=AciX8_1047 PE=4 SV=1",682795,4,NA,6,9,4,NA
"625","tr|I4H4C4|I4H4C4_MICAE",4,2059,"Translation initiation factor IF-1 OS=Microcystis aeruginosa PCC 9807 OX=1160283 GN=infA PE=3 SV=1",1160283,4,4,3,NA,NA,NA
"626","tr|I4HMM0|I4HMM0_MICAE",4,2059,"Translation initiation factor IF-1 OS=Microcystis aeruginosa PCC 9808 OX=1160284 GN=infA PE=3 SV=1",1160284,4,4,3,NA,NA,NA
"627","tr|I4I9W3|I4I9W3_9CHRO",2,2756,"Global nitrogen regulator OS=Microcystis sp. T1-4 OX=1160279 GN=ntcA PE=4 SV=1",1160279,NA,2,NA,NA,NA,NA
"628","tr|J2LE96|J2LE96_9SPHN",3,2608,"Outer membrane receptor for ferrienterochelin and colicins OS=Sphingobium sp. AP49 OX=1144307 GN=PMI04_00651 PE=3 SV=1",1144307,NA,NA,NA,2,3,3
"629","tr|J9H4V8|J9H4V8_9ACTN",4,1689,"Cold shock protein OS=actinobacterium SCGC AAA027-L06 OX=913338 GN=A27L6_002700000140 PE=4 SV=1",913338,2,NA,NA,6,5,6
"630","tr|K7W689|K7W689_9NOST",4,1101,"Carbon dioxide concentrating mechanism protein OS=Anabaena sp. 90 OX=46234 GN=ccmK PE=3 SV=1",46234,NA,5,3,NA,NA,NA
"631","tr|K9PTV1|K9PTV1_9CYAN",2,2435,"Uncharacterized protein OS=Calothrix sp. PCC 7507 OX=99598 GN=Cal7507_5659 PE=4 SV=1",99598,NA,4,3,NA,NA,NA
"632","tr|K9RJ43|K9RJ43_9CYAN",11,228,"Secreted/surface protein with fasciclin-like repeats OS=Rivularia sp. PCC 7116 OX=373994 GN=Riv7116_5095 PE=4 SV=1",373994,14,12,22,13,8,8
"633","tr|K9RNQ0|K9RNQ0_SYNP3",3,2018,"Uncharacterized protein OS=Synechococcus sp. (strain ATCC 27167 / PCC 6312) OX=195253 GN=Syn6312_0347 PE=4 SV=1",195253,NA,5,4,NA,NA,NA
"634","tr|K9S568|K9S568_9CYAN",4,2059,"Translation initiation factor IF-1 OS=Geitlerinema sp. PCC 7407 OX=1173025 GN=infA PE=3 SV=1",1173025,4,4,3,NA,NA,NA
"635","tr|K9SA05|K9SA05_9CYAN",2,2760,"Argininosuccinate synthase OS=Geitlerinema sp. PCC 7407 OX=1173025 GN=argG PE=3 SV=1",1173025,NA,2,NA,NA,NA,NA
"636","tr|K9T5I6|K9T5I6_9CYAN",2,2756,"Global nitrogen regulator NtcA  cyanobacterial OS=Pleurocapsa sp. PCC 7327 OX=118163 GN=Ple7327_2383 PE=4 SV=1",118163,NA,2,NA,NA,NA,NA
"637","tr|K9TBE4|K9TBE4_9CYAN",11,189,"Secreted/surface protein with fasciclin-like repeats OS=Pleurocapsa sp. PCC 7327 OX=118163 GN=Ple7327_4652 PE=4 SV=1",118163,19,21,29,16,9,8
"638","tr|K9UGN6|K9UGN6_CHAP6",4,1878,"ATP-dependent Clp protease proteolytic subunit OS=Chamaesiphon minutus (strain ATCC 27169 / PCC 6605) OX=1173020 GN=Cha6605_2963 PE=3 SV=1",1173020,NA,3,3,NA,NA,NA
"639","tr|K9UJ19|K9UJ19_CHAP6",6,292,"Allophycocyanin alpha subunit apoprotein OS=Chamaesiphon minutus (strain ATCC 27169 / PCC 6605) OX=1173020 GN=Cha6605_3804 PE=3 SV=1",1173020,NA,NA,2,3,NA,NA
"640","tr|K9UKY8|K9UKY8_CHAP6",3,2018,"Uncharacterized protein OS=Chamaesiphon minutus (strain ATCC 27169 / PCC 6605) OX=1173020 GN=Cha6605_4181 PE=4 SV=1",1173020,NA,5,4,NA,NA,NA
"641","tr|K9UMB4|K9UMB4_CHAP6",8,550,"60 kDa chaperonin OS=Chamaesiphon minutus (strain ATCC 27169 / PCC 6605) OX=1173020 GN=groL PE=3 SV=1",1173020,NA,5,4,2,2,NA
"642","tr|K9V0X4|K9V0X4_9CYAN",2,2435,"Uncharacterized protein OS=Calothrix sp. PCC 6303 OX=1170562 GN=Cal6303_2364 PE=4 SV=1",1170562,NA,4,3,NA,NA,NA
"643","tr|K9VEZ1|K9VEZ1_9CYAN",9,389,"Cyanobacterial porin OS=Oscillatoria nigro-viridis PCC 7112 OX=179408 GN=Osc7112_1546 PE=3 SV=1",179408,9,8,12,8,7,NA
"644","tr|K9VGJ0|K9VGJ0_9CYAN",2,2803,"Potassium-transporting ATPase ATP-binding subunit OS=Oscillatoria nigro-viridis PCC 7112 OX=179408 GN=kdpB PE=3 SV=1",179408,NA,2,3,NA,NA,NA
"645","tr|K9VI22|K9VI22_9CYAN",5,694,"Polyribonucleotide nucleotidyltransferase OS=Oscillatoria nigro-viridis PCC 7112 OX=179408 GN=pnp PE=3 SV=1",179408,2,3,NA,NA,NA,NA
"646","tr|K9VPE0|K9VPE0_9CYAN",4,1515,"DNA-directed RNA polymerase subunit beta' OS=Oscillatoria nigro-viridis PCC 7112 OX=179408 GN=rpoC2 PE=3 SV=1",179408,NA,7,2,NA,NA,NA
"647","tr|K9VPJ4|K9VPJ4_9CYAN",4,505,"Microcompartments protein OS=Oscillatoria nigro-viridis PCC 7112 OX=179408 GN=Osc7112_5168 PE=3 SV=1",179408,NA,NA,3,NA,NA,NA
"648","tr|K9VQM4|K9VQM4_9CYAN",4,1280,"30S ribosomal protein S9 OS=Oscillatoria nigro-viridis PCC 7112 OX=179408 GN=rpsI PE=3 SV=1",179408,2,NA,NA,NA,NA,NA
"649","tr|K9VTC0|K9VTC0_9CYAN",10,351,"ATPase AAA-2 domain protein OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_0177 PE=3 SV=1",1173022,2,10,6,2,2,NA
"650","tr|K9VVC5|K9VVC5_9CYAN",3,954,"Ferritin Dps family protein OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_0110 PE=3 SV=1",1173022,NA,3,NA,NA,NA,NA
"651","tr|K9VVF0|K9VVF0_9CYAN",3,1024,"Fructose-1 6-bisphosphate aldolase OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_1042 PE=3 SV=1",1173022,NA,2,NA,NA,NA,NA
"652","tr|K9VWJ1|K9VWJ1_9CYAN",6,457,"60 kDa chaperonin OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=groL PE=3 SV=1",1173022,NA,5,4,2,2,NA
"653","tr|K9VXM5|K9VXM5_9CYAN",3,2403,"Photosystem I reaction center subunit II OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_1826 PE=3 SV=1",1173022,3,NA,2,NA,NA,NA
"654","tr|K9VXY4|K9VXY4_9CYAN",7,504,"ATP synthase subunit alpha OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=atpA PE=3 SV=1",1173022,3,4,3,NA,5,NA
"655","tr|K9VY78|K9VY78_9CYAN",3,1732,"Enolase OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=eno PE=3 SV=1",1173022,NA,2,NA,NA,NA,NA
"656","tr|K9VYP7|K9VYP7_9CYAN",3,2389,"Peptidyl-prolyl cis-trans isomerase OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_1396 PE=3 SV=1",1173022,2,NA,4,NA,NA,NA
"657","tr|K9VZI6|K9VZI6_9CYAN",3,1406,"Photosystem I P700 chlorophyll a apoprotein A1 OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=psaA PE=3 SV=1",1173022,NA,NA,NA,2,NA,NA
"658","tr|K9VZS5|K9VZS5_9CYAN",4,1790,"Cysteine synthase OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_1780 PE=3 SV=1",1173022,2,NA,2,NA,NA,NA
"659","tr|K9W058|K9W058_9CYAN",3,2325,"50S ribosomal protein L15 OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=rplO PE=3 SV=1",1173022,2,NA,3,NA,NA,NA
"660","tr|K9W094|K9W094_9CYAN",3,1323,"Glyceraldehyde-3-phosphate dehydrogenase OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_2336 PE=3 SV=1",1173022,NA,3,NA,NA,NA,NA
"661","tr|K9W095|K9W095_9CYAN",5,1173,"DNA-directed RNA polymerase subunit alpha OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=rpoA PE=3 SV=1",1173022,2,5,5,NA,NA,NA
"662","tr|K9W0X8|K9W0X8_9CYAN",3,1677,"Urea-binding protein OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_2546 PE=4 SV=1",1173022,NA,5,NA,NA,NA,NA
"663","tr|K9W1H0|K9W1H0_9CYAN",6,1041,"RNP-1 like RNA-binding protein OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_2725 PE=4 SV=1",1173022,3,4,5,4,NA,NA
"664","tr|K9W2I2|K9W2I2_9CYAN",5,1751,"Anti-sigma factor antagonist OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_3134 PE=3 SV=1",1173022,2,2,7,NA,NA,NA
"665","tr|K9W5Y7|K9W5Y7_9CYAN",3,1678,"Rhodanese-like protein OS=Crinalium epipsammum PCC 9333 OX=1173022 GN=Cri9333_4426 PE=4 SV=1",1173022,2,NA,NA,NA,NA,NA
"666","tr|K9X2K6|K9X2K6_9NOST",5,1491,"Nucleoside diphosphate kinase OS=Cylindrospermum stagnale PCC 7417 OX=56107 GN=ndk PE=3 SV=1",56107,NA,3,2,NA,2,NA
"667","tr|K9X9D5|K9X9D5_9CHRO",7,1133,"Microcompartments protein OS=Gloeocapsa sp. PCC 7428 OX=1173026 GN=Glo7428_0668 PE=3 SV=1",1173026,2,8,6,NA,2,NA
"668","tr|K9ZHP7|K9ZHP7_ANACC",3,1142,"Two component transcriptional regulator  winged helix family OS=Anabaena cylindrica (strain ATCC 27899 / PCC 7122) OX=272123 GN=Anacy_2842 PE=4 SV=1",272123,NA,9,NA,NA,NA,NA
"669","tr|K9ZJD6|K9ZJD6_ANACC",4,2059,"Translation initiation factor IF-1 OS=Anabaena cylindrica (strain ATCC 27899 / PCC 7122) OX=272123 GN=infA PE=3 SV=1",272123,4,4,3,NA,NA,NA
"670","tr|L0DHM7|L0DHM7_SINAD",3,2233,"RRM domain-containing RNA-binding protein OS=Singulisphaera acidiphila (strain ATCC BAA-1392 / DSM 18658 / VKM B-2454 / MOB10) OX=886293 GN=Sinac_3965 PE=4 SV=1",886293,NA,NA,NA,NA,4,3
"671","tr|L8NVY6|L8NVY6_MICAE",2,2756,"Global nitrogen regulator OS=Microcystis aeruginosa DIANCHI905 OX=1235808 GN=ntcA PE=4 SV=1",1235808,NA,2,NA,NA,NA,NA
"672","tr|M9M9K8|M9M9K8_GLUTH",2,1604,"30S ribosomal protein S19 OS=Gluconobacter thailandicus NBRC 3255 OX=1291534 GN=rpsS PE=3 SV=1",1291534,5,NA,14,NA,NA,NA
"673","tr|P94611|P94611_CROS5",2,2756,"NtcA OS=Crocosphaera subtropica (strain ATCC 51142 / BH68) OX=43989 GN=ntcA PE=4 SV=1",43989,NA,2,NA,NA,NA,NA
"674","tr|Q4BWB1|Q4BWB1_CROWT",2,2756,"Cyclic nucleotide-binding:Bacterial regulatory protein  Crp OS=Crocosphaera watsonii WH 8501 OX=165597 GN=CwatDRAFT_0834 PE=4 SV=1",165597,NA,2,NA,NA,NA,NA
"675","tr|T2IMV1|T2IMV1_CROWT",4,2059,"Translation initiation factor IF-1 OS=Crocosphaera watsonii WH 8502 OX=423474 GN=infA PE=3 SV=1",423474,4,4,3,NA,NA,NA
"676","tr|T2IRH0|T2IRH0_CROWT",2,2756,"Global nitrogen regulatory protein  CRP family of transcriptional regulators OS=Crocosphaera watsonii WH 0005 OX=423472 GN=CWATWH0005_3729 PE=4 SV=1",423472,NA,2,NA,NA,NA,NA
"677","tr|U7QGP0|U7QGP0_9CYAN",9,315,"Allophycocyanin  beta subunit OS=Lyngbya aestuarii BL J OX=1348334 GN=M595_2924 PE=3 SV=1",1348334,3,NA,5,5,4,2
"678","tr|W0FKH3|W0FKH3_9CYAN",3,2132,"50S ribosomal protein L4 OS=uncultured Phormidium sp. OX=259949 GN=L4P PE=3 SV=1",259949,NA,2,NA,NA,NA,NA
"679","tr|W5YB94|W5YB94_KOMXY",2,1604,"30S ribosomal protein S19 OS=Komagataeibacter xylinus E25 OX=1296990 GN=rpsS PE=3 SV=1",1296990,5,NA,14,NA,NA,NA
