yourlist:M202108194ABAA9BC7178C81CEBC9459510EDDEA313EEFEN	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
A0A6N8FTJ0	A0A6N8FTJ0	A0A6N8FTJ0_9CHRO	unreviewed	Phycocyanin subunit alpha	BWI75_06850	Gloeocapsopsis sp. AAB1 = 1H9	162	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A6N8FYJ1	A0A6N8FYJ1	A0A6N8FYJ1_9CHRO	unreviewed	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH BWI75_18200	Gloeocapsopsis sp. AAB1 = 1H9	619	GO:0004176; GO:0004222; GO:0005524; GO:0008270; GO:0016021; GO:0030163; GO:0031676; GO:0051301	integral component of membrane [GO:0016021]; plasma membrane-derived thylakoid membrane [GO:0031676]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; cell division [GO:0051301]; protein catabolic process [GO:0030163]
A0A6P0IDK9	A0A6P0IDK9	A0A6P0IDK9_9CYAN	unreviewed	30S ribosomal protein S7	rpsG rps7 F6K50_05550	Moorea sp. SIO3I7	156	GO:0000049; GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
A0A6P0ILX4	A0A6P0ILX4	A0A6P0ILX4_9CYAN	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH F6K50_24875	Moorea sp. SIO3I7	513	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A6P0J0S7	A0A6P0J0S7	A0A6P0J0S7_9CYAN	unreviewed	Allophycocyanin subunit beta (Fragment)	apcB F6K50_41430	Moorea sp. SIO3I7	165	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A6P0J6H8	A0A6P0J6H8	A0A6P0J6H8_9CYAN	unreviewed	Glutathione S-transferase family protein	F6K57_06420	Moorea sp. SIO4A5	199	GO:0006749; GO:0016740	transferase activity [GO:0016740]; glutathione metabolic process [GO:0006749]
A0A6P0JEB5	A0A6P0JEB5	A0A6P0JEB5_9CYAN	unreviewed	Allophycocyanin subunit beta	apcB F6K57_21760	Moorea sp. SIO4A5	169	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A6P0K6B7	A0A6P0K6B7	A0A6P0K6B7_9CYAN	unreviewed	Iron uptake porin	F6K36_10420	Symploca sp. SIO3C6	660	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A6P0L260	A0A6P0L260	A0A6P0L260_9CYAN	unreviewed	30S ribosomal protein S7	rpsG rps7 F6J90_37925	Moorea sp. SIOASIH	156	GO:0000049; GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
A0A6P0L2Y3	A0A6P0L2Y3	A0A6P0L2Y3_9CYAN	unreviewed	Allophycocyanin subunit beta	apcB F6K52_02170	Moorea sp. SIO3H5	169	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A6P0LF96	A0A6P0LF96	A0A6P0LF96_9CYAN	unreviewed	Glutathione S-transferase family protein	F6K52_25600	Moorea sp. SIO3H5	199	GO:0006749; GO:0016740	transferase activity [GO:0016740]; glutathione metabolic process [GO:0006749]
A0A6P0MS57	A0A6P0MS57	A0A6P0MS57_9CYAN	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH F6K14_30655	Symploca sp. SIO2C1	521	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A6P0N7Z2	A0A6P0N7Z2	A0A6P0N7Z2_9CYAN	unreviewed	Allophycocyanin subunit beta	apcB F6K65_21300	Moorea sp. SIO3C2	169	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A6P0PRE5	A0A6P0PRE5	A0A6P0PRE5_9CYAN	unreviewed	30S ribosomal protein S7	rpsG rps7 F6K37_14500	Moorea sp. SIO4E2	156	GO:0000049; GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
A0A6P0Q6N5	A0A6P0Q6N5	A0A6P0Q6N5_9CYAN	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH F6K28_00965	Microcoleus sp. SIO2G3	476	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A6P0QDI5	A0A6P0QDI5	A0A6P0QDI5_9CYAN	unreviewed	Allophycocyanin subunit beta	apcB F6K28_17905	Microcoleus sp. SIO2G3	169	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A6P0QDN6	A0A6P0QDN6	A0A6P0QDN6_9CYAN	unreviewed	Glutathione S-transferase family protein (Fragment)	F6K28_18225	Microcoleus sp. SIO2G3	92	GO:0006749; GO:0016740	transferase activity [GO:0016740]; glutathione metabolic process [GO:0006749]
A0A6P0W368	A0A6P0W368	A0A6P0W368_9CYAN	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH F6J92_37320	Symploca sp. SIO1A3	521	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A6P0W6T4	A0A6P0W6T4	A0A6P0W6T4_9CYAN	unreviewed	30S ribosomal protein S7	rpsG rps7 F6K64_12305	Moorea sp. SIO3A2	156	GO:0000049; GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
A0A6P0YTI3	A0A6P0YTI3	A0A6P0YTI3_9CYAN	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH F6K09_09785	Merismopedia sp. SIO2A8	527	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A6P0Z0K2	A0A6P0Z0K2	A0A6P0Z0K2_9CYAN	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH F6K09_20255	Merismopedia sp. SIO2A8	519	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A6P0Z0X4	A0A6P0Z0X4	A0A6P0Z0X4_9CYAN	unreviewed	NAD(P)H dehydrogenase subunit H (Fragment)	F6K09_25960	Merismopedia sp. SIO2A8	354	GO:0016020; GO:0016651; GO:0048038; GO:0051287	membrane [GO:0016020]; NAD binding [GO:0051287]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]; quinone binding [GO:0048038]
A0A6P0Z1I3	A0A6P0Z1I3	A0A6P0Z1I3_9CYAN	unreviewed	Iron uptake porin	F6K09_23815	Merismopedia sp. SIO2A8	625	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A6P2AFU1	A0A6P2AFU1	A0A6P2AFU1_9CHRO	unreviewed	Glutamine synthetase (EC 6.3.1.2)	glnA EA365_01270	Gloeocapsa sp. DLM2.Bin57	473	GO:0004356; GO:0005524; GO:0006542	ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]; glutamine biosynthetic process [GO:0006542]
A0A6P2AWQ6	A0A6P2AWQ6	A0A6P2AWQ6_9CYAN	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH EA366_05115	Spirulina sp. DLM2.Bin59	509	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A6S8H488	A0A6S8H488	A0A6S8H488_DUNTE		Deleted.					
A0A6S8JK99	A0A6S8JK99	A0A6S8JK99_DUNTE		Deleted.					
A0A6T8PRH6	A0A6T8PRH6	A0A6T8PRH6_9CHLO		Deleted.					
A0A6T8TCF9	A0A6T8TCF9	A0A6T8TCF9_9CHLO		Deleted.					
A0A6U0XQL2	A0A6U0XQL2	A0A6U0XQL2_9CHLO		Deleted.					
A0A7C3PJT3	A0A7C3PJT3	A0A7C3PJT3_9CYAN	unreviewed	Coproporphyrin III ferrochelatase (EC 4.99.1.9)	ENR64_17815	Oscillatoriales cyanobacterium SpSt-418	391	GO:0004325; GO:0006783	ferrochelatase activity [GO:0004325]; heme biosynthetic process [GO:0006783]
A0A7C6DUT5	A0A7C6DUT5	A0A7C6DUT5_9BACT	unreviewed	DUF4331 domain-containing protein	ENR46_01100	Blastocatellia bacterium	511		
A0A7C9HI87	A0A7C9HI87	A0A7C9HI87_9MICO	unreviewed	Elongation factor Tu (EF-Tu)	tuf GLX25_10995	Agromyces luteolus	397	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A7C9PRU6	A0A7C9PRU6	A0A7C9PRU6_9CYAN	unreviewed	Bleomycin hydrolase	F6J93_04905	Oscillatoria sp. SIO1A7	182	GO:0015979; GO:0016787; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; hydrolase activity [GO:0016787]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A7C9TVS4	A0A7C9TVS4	A0A7C9TVS4_9CYAN	unreviewed	Peroxiredoxin (EC 1.11.1.15)	F6J93_21065	Oscillatoria sp. SIO1A7	212	GO:0004601; GO:0051920	peroxidase activity [GO:0004601]; peroxiredoxin activity [GO:0051920]
A0A7G2S757	A0A7G2S757	A0A7G2S757_9GAMM	unreviewed	Uncharacterized protein	CL539_12620	Alcanivorax sp.	483		
A0A7G9R4G1	A0A7G9R4G1	A0A7G9R4G1_9MICO	unreviewed	SPFH/Band 7/PHB domain protein	H9L10_05715	Phycicoccus endophyticus	387	GO:0016021	integral component of membrane [GO:0016021]
A0A7H0EY99	A0A7H0EY99	A0A7H0EY99_9CYAN	unreviewed	Phycocyanin subunit beta	IAR63_12830	Cylindrospermopsis curvispora GIHE-G1	173	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A7H0F0G8	A0A7H0F0G8	A0A7H0F0G8_9CYAN	unreviewed	DNA recombination-mediator protein A	IAR63_17250	Cylindrospermopsis curvispora GIHE-G1	167	GO:0009294	DNA mediated transformation [GO:0009294]
A0A7K0MUL7	A0A7K0MUL7	A0A7K0MUL7_9ACTN	unreviewed	Fasciclin domain-containing protein	F2723_01865 F2877_04970 F2894_00405	Actinobacteria bacterium	179		
A0A7K1NQE6	A0A7K1NQE6	A0A7K1NQE6_9MICC	unreviewed	Elongation factor Tu (EF-Tu)	tuf GK109_15770	Pseudarthrobacter sp. GA104	396	GO:0003746	translation elongation factor activity [GO:0003746]
A0A7K3M2J8	A0A7K3M2J8	A0A7K3M2J8_9ACTN	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL F7O44_10515	Phytoactinopolyspora mesophila	540		
A0A7K4ET07	A0A7K4ET07	A0A7K4ET07_9EURY	unreviewed	F0F1 ATP synthase subunit beta	atpD HKP57_08615	Halobacteria archaeon	458		
A0A7M5WK38	A0A7M5WK38	A0A7M5WK38_9CNID	unreviewed	Tubulin alpha chain		Clytia hemisphaerica	446		
A0YYK0	A0YYK0	A0YYK0_LYNSP	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES L8106_08546	Lyngbya sp. (strain PCC 8106) (Lyngbya aestuarii (strain CCY9616))	103	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A3IRV2	A3IRV2	A3IRV2_9CHRO	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH CY0110_30266	Crocosphaera chwakensis CCY0110	516	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A7S8I3	A7S8I3	A7S8I3_NEMVE	unreviewed	Tubulin beta chain	v1g167737	Nematostella vectensis (Starlet sea anemone)	446	GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874	cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]
A8YJM7	A8YJM7	A8YJM7_MICAE	unreviewed	CpcB protein	cpcB IPF_4221	Microcystis aeruginosa PCC 7806	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A9B1C1	A9B1C1	A9B1C1_HERA2	unreviewed	Uncharacterized protein	Haur_4677	Herpetosiphon aurantiacus (strain ATCC 23779 / DSM 785 / 114-95)	239		
B4VU00	B4VU00	B4VU00_9CYAN	unreviewed	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG atpC MC7420_6072	Coleofasciculus chthonoplastes PCC 7420	316	GO:0005524; GO:0016787; GO:0031676; GO:0045261; GO:0046933	plasma membrane-derived thylakoid membrane [GO:0031676]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
B4X3J3	B4X3J3	B4X3J3_9GAMM	unreviewed	Uncharacterized protein	ADG881_702	Alcanivorax sp. DG881	499		
B7JYZ3	B7JYZ3	B7JYZ3_RIPO1	unreviewed	NAD(P)H-quinone oxidoreductase subunit H (EC 7.1.1.-) (NAD(P)H dehydrogenase, subunit H) (NADH-plastoquinone oxidoreductase subunit H) (NDH-1 subunit H) (NDH-H)	ndhH PCC8801_2036	Rippkaea orientalis (strain PCC 8801) (Cyanothece sp. (strain PCC 8801))	394	GO:0016655; GO:0019684; GO:0031676; GO:0048038; GO:0051287	plasma membrane-derived thylakoid membrane [GO:0031676]; NAD binding [GO:0051287]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; quinone binding [GO:0048038]; photosynthesis, light reaction [GO:0019684]
B7KE64	B7KE64	B7KE64_GLOC7	unreviewed	Uncharacterized protein	PCC7424_3366	Gloeothece citriformis (strain PCC 7424) (Cyanothece sp. (strain PCC 7424))	292	GO:0019684; GO:0030077; GO:0045156	plasma membrane light-harvesting complex [GO:0030077]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; photosynthesis, light reaction [GO:0019684]
B9A0R2	B9A0R2	B9A0R2_9CYAN	unreviewed	60 kDa chaperonin (Fragment)	groEL	Pseudanabaena sp. PCC 7367	452	GO:0005524; GO:0005737; GO:0016887; GO:0042026	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein refolding [GO:0042026]
C6PUX4	C6PUX4	C6PUX4_9CLOT	unreviewed	Putative regulatory protein CcarbDRAFT_2591	CcarbDRAFT_2591	Clostridium carboxidivorans P7	92		
D4TH02	D4TH02	D4TH02_9CYAN	unreviewed	Uncharacterized protein	CRC_01610	Cylindrospermopsis raciborskii CS-505	167	GO:0009294	DNA mediated transformation [GO:0009294]
D7DYQ8	D7DYQ8	D7DYQ8_NOSA0	unreviewed	Phycocyanin	Aazo_0296	Nostoc azollae (strain 0708) (Anabaena azollae (strain 0708))	162	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
D7R072	D7R072	D7R072_9CYAN	unreviewed	Phycocyanin beta subunit (Fragment)	pcB	uncultured cyanobacterium	86	GO:0015979; GO:0018298; GO:0030089	phycobilisome [GO:0030089]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
D8G191	D8G191	D8G191_9CYAN	unreviewed	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	OSCI_3000034	Kamptonema sp. PCC 6506	527	GO:0004617; GO:0006564; GO:0051287	NAD binding [GO:0051287]; phosphoglycerate dehydrogenase activity [GO:0004617]; L-serine biosynthetic process [GO:0006564]
D8THW4	D8THW4	D8THW4_VOLCA	unreviewed	Elongation factor Tu, chloroplastic	eif1A1 VOLCADRAFT_102756	Volvox carteri f. nagariensis	463	GO:0003743; GO:0003924; GO:0005525	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation initiation factor activity [GO:0003743]
D8TNN3	D8TNN3	D8TNN3_VOLCA	unreviewed	Elongation factor Tu, chloroplastic	eef1 VOLCADRAFT_103661	Volvox carteri f. nagariensis	463	GO:0003746; GO:0003924; GO:0005525	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
E0UCG0	E0UCG0	E0UCG0_GLOV7	unreviewed	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase)	glgC Cyan7822_2049	Gloeothece verrucosa (strain PCC 7822) (Cyanothece sp. (strain PCC 7822))	429	GO:0005524; GO:0005978; GO:0008878	ATP binding [GO:0005524]; glucose-1-phosphate adenylyltransferase activity [GO:0008878]; glycogen biosynthetic process [GO:0005978]
E0UG21	E0UG21	E0UG21_GLOV7	unreviewed	NAD(P)H-quinone oxidoreductase subunit H (EC 7.1.1.-) (NAD(P)H dehydrogenase, subunit H) (NADH-plastoquinone oxidoreductase subunit H) (NDH-1 subunit H) (NDH-H)	ndhH Cyan7822_3581	Gloeothece verrucosa (strain PCC 7822) (Cyanothece sp. (strain PCC 7822))	393	GO:0016655; GO:0019684; GO:0031676; GO:0048038; GO:0051287	plasma membrane-derived thylakoid membrane [GO:0031676]; NAD binding [GO:0051287]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; quinone binding [GO:0048038]; photosynthesis, light reaction [GO:0019684]
E6SA36	E6SA36	E6SA36_INTC7	unreviewed	SPFH domain, Band 7 family protein	Intca_1733	Intrasporangium calvum (strain ATCC 23552 / DSM 43043 / JCM 3097 / NBRC 12989 / 7 KIP)	393	GO:0016021	integral component of membrane [GO:0016021]
E7S153	E7S153	E7S153_9BURK	unreviewed	Translation elongation factor Tu (Fragment)	tuf HMPREF0551_2668	Lautropia mirabilis ATCC 51599	302	GO:0003746; GO:0003924; GO:0005525	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
F5UAR4	F5UAR4	F5UAR4_9CYAN	unreviewed	Phycocyanin, alpha subunit	MicvaDRAFT_4098	Microcoleus vaginatus FGP-2	162	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
F5UC37	F5UC37	F5UC37_9CYAN	unreviewed	Peroxiredoxin (EC 1.11.1.15)	MicvaDRAFT_4596	Microcoleus vaginatus FGP-2	199	GO:0004601; GO:0051920	peroxidase activity [GO:0004601]; peroxiredoxin activity [GO:0051920]
F5UDQ0	F5UDQ0	F5UDQ0_9CYAN	unreviewed	GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)	gmd MicvaDRAFT_1709	Microcoleus vaginatus FGP-2	343	GO:0008446; GO:0019673; GO:0070401	GDP-mannose 4,6-dehydratase activity [GO:0008446]; NADP+ binding [GO:0070401]; GDP-mannose metabolic process [GO:0019673]
F5UDR5	F5UDR5	F5UDR5_9CYAN	unreviewed	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	metK MicvaDRAFT_1727	Microcoleus vaginatus FGP-2	420	GO:0000287; GO:0004478; GO:0005524; GO:0005737; GO:0006556; GO:0006730	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; methionine adenosyltransferase activity [GO:0004478]; one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]
F5UED8	F5UED8	F5UED8_9CYAN	unreviewed	Glutaredoxin domain protein region	MicvaDRAFT_1970	Microcoleus vaginatus FGP-2	244	GO:0009055; GO:0015035	electron transfer activity [GO:0009055]; protein disulfide oxidoreductase activity [GO:0015035]
F5UGD5	F5UGD5	F5UGD5_9CYAN	unreviewed	Ribulose-bisphosphate carboxylase (EC 4.1.1.39)	MicvaDRAFT_3265	Microcoleus vaginatus FGP-2	111	GO:0016984	ribulose-bisphosphate carboxylase activity [GO:0016984]
F5UHU1	F5UHU1	F5UHU1_9CYAN	unreviewed	50S ribosomal subunit assembly factor BipA (EC 3.6.5.-) (GTP-binding protein BipA)	bipA MicvaDRAFT_2942	Microcoleus vaginatus FGP-2	596	GO:0000027; GO:0000049; GO:0003924; GO:0005525; GO:0005737; GO:0019843; GO:0043022	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]; rRNA binding [GO:0019843]; tRNA binding [GO:0000049]; ribosomal large subunit assembly [GO:0000027]
F5UJR8	F5UJR8	F5UJR8_9CYAN	unreviewed	Allophycocyanin, beta subunit	MicvaDRAFT_1053	Microcoleus vaginatus FGP-2	169	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
F5UK64	F5UK64	F5UK64_9CYAN	unreviewed	Uncharacterized protein	MicvaDRAFT_2491	Microcoleus vaginatus FGP-2	1043	GO:0016021	integral component of membrane [GO:0016021]
F5UMQ4	F5UMQ4	F5UMQ4_9CYAN	unreviewed	Flavin reductase domain protein, FMN-binding	MicvaDRAFT_5089	Microcoleus vaginatus FGP-2	160	GO:0010181	FMN binding [GO:0010181]
F5UPQ3	F5UPQ3	F5UPQ3_9CYAN	unreviewed	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno MicvaDRAFT_2593	Microcoleus vaginatus FGP-2	426	GO:0000015; GO:0000287; GO:0004634; GO:0005576; GO:0006096; GO:0009986	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]
G6FPL6	G6FPL6	G6FPL6_9CYAN	unreviewed	Phycocyanin, beta subunit	FJSC11DRAFT_0796	Fischerella thermalis	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
G6FSH5	G6FSH5	G6FSH5_9CYAN	unreviewed	NAD(P)H-quinone oxidoreductase subunit H (EC 7.1.1.-) (NAD(P)H dehydrogenase, subunit H) (NADH-plastoquinone oxidoreductase subunit H) (NDH-1 subunit H) (NDH-H)	ndhH FJSC11DRAFT_1722	Fischerella thermalis	394	GO:0016655; GO:0019684; GO:0031676; GO:0048038; GO:0051287	plasma membrane-derived thylakoid membrane [GO:0031676]; NAD binding [GO:0051287]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; quinone binding [GO:0048038]; photosynthesis, light reaction [GO:0019684]
I4CVR8	I4CVR8	I4CVR8_PSEST	unreviewed	DNA-binding stress protein	A458_14730	Pseudomonas stutzeri CCUG 29243	156	GO:0003677; GO:0008199; GO:0016722	DNA binding [GO:0003677]; ferric iron binding [GO:0008199]; oxidoreductase activity, acting on metal ions [GO:0016722]
