yourlist:M202108196320BA52A5CE8FCD097CB85A53697A3513EA317	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
A0A4Y8JJN0	A0A4Y8JJN0	A0A4Y8JJN0_9MICO	unreviewed	Integration host factor	E3O62_12180	Cryobacterium sp. TMT2-15-1	95	GO:0003677	DNA binding [GO:0003677]
A0A4Y8JWD3	A0A4Y8JWD3	A0A4Y8JWD3_9MICO	unreviewed	Integration host factor	E3T49_09320	Cryobacterium sp. TMT1-51	95	GO:0003677	DNA binding [GO:0003677]
A0A4Y8KFV2	A0A4Y8KFV2	A0A4Y8KFV2_9MICO	unreviewed	Integration host factor	E3T38_08160	Cryobacterium sp. Hb1	95	GO:0003677	DNA binding [GO:0003677]
A0A4Y8KKN5	A0A4Y8KKN5	A0A4Y8KKN5_9MICO	unreviewed	LemA family protein (LemA protein)	E3T53_15065 EDD25_2589	Cryobacterium psychrophilum	188	GO:0016021	integral component of membrane [GO:0016021]
A0A4Y8KLM4	A0A4Y8KLM4	A0A4Y8KLM4_9MICO	unreviewed	DNA-binding protein HU-beta (Integration host factor)	E3T53_11185 EDD25_1895	Cryobacterium psychrophilum	95	GO:0003677	DNA binding [GO:0003677]
A0A4Z0BVF8	A0A4Z0BVF8	A0A4Z0BVF8_9BURK	unreviewed	Fasciclin domain-containing protein	EZ242_05250	Ramlibacter rhizophilus	151		
A0A4Z0PAC3	A0A4Z0PAC3	A0A4Z0PAC3_9BACT	unreviewed	SusC/RagA family TonB-linked outer membrane protein	EU556_01600	Hymenobacter sp. 92R-1	1147	GO:0009279	cell outer membrane [GO:0009279]
A0A4Z0QDF4	A0A4Z0QDF4	A0A4Z0QDF4_9BACT	unreviewed	TonB-dependent receptor	E5K02_12475	Hymenobacter sp. 9PBR-1	1063	GO:0009279	cell outer membrane [GO:0009279]
A0A502CSM5	A0A502CSM5	A0A502CSM5_9SPHN	unreviewed	Fasciclin domain-containing protein	EAH84_01535	Sphingomonas oligophenolica	141		
A0A502FUK4	A0A502FUK4	A0A502FUK4_9SPHN	unreviewed	Fasciclin domain-containing protein	EAH76_12320	Sphingomonas glacialis	141		
A0A502G4A7	A0A502G4A7	A0A502G4A7_9SPHN	unreviewed	TonB-dependent receptor	EAH76_02215	Sphingomonas glacialis	823	GO:0009279	cell outer membrane [GO:0009279]
A0A502GXI4	A0A502GXI4	A0A502GXI4_9BACT	unreviewed	TonB-dependent receptor	EAH73_11190	Hymenobacter nivis	1058	GO:0009279	cell outer membrane [GO:0009279]
A0A502GZB6	A0A502GZB6	A0A502GZB6_9BACT	unreviewed	TonB-dependent receptor	EAH73_08415	Hymenobacter nivis	1054	GO:0009279	cell outer membrane [GO:0009279]
A0A511A8V3	A0A511A8V3	A0A511A8V3_9MICO		Deleted.					
A0A516ITB2	A0A516ITB2	A0A516ITB2_9SPHN	unreviewed	Type II and III secretion system protein family protein	FMM02_09515	Sphingomonas xanthus	493	GO:0009306	protein secretion [GO:0009306]
A0A517LWD9	A0A517LWD9	A0A517LWD9_9BACT	unreviewed	Immunogenic protein MPT70	EC9_11120	Planctomycetes bacterium EC9	193		
A0A517XPE9	A0A517XPE9	A0A517XPE9_9BACT	unreviewed	RNA recognition motif (RRM, RBD, or RNP domain)	ETAA1_12690	Urbifossiella limnaea	137	GO:0003676	nucleic acid binding [GO:0003676]
A0A517XSE0	A0A517XSE0	A0A517XSE0_9BACT	unreviewed	RNA recognition motif (RRM, RBD, or RNP domain)	ETAA1_23550	Urbifossiella limnaea	145	GO:0003676	nucleic acid binding [GO:0003676]
A0A518H0K4	A0A518H0K4	A0A518H0K4_9BACT	unreviewed	RNA recognition motif (RRM, RBD, or RNP domain)	ElP_22600	Tautonia plasticadhaerens	121	GO:0003676	nucleic acid binding [GO:0003676]
A0A518INX5	A0A518INX5	A0A518INX5_9BACT	unreviewed	Immunogenic protein MPT70	Mal33_07610	Rosistilla oblonga	193		
A0A518JPK7	A0A518JPK7	A0A518JPK7_9BACT	unreviewed	Immunogenic protein MPT70	Poly24_11750	Rosistilla carotiformis	193		
A0A519M974	A0A519M974	A0A519M974_9BACT	unreviewed	SusC/RagA family TonB-linked outer membrane protein (Fragment)	EOO55_01690	Hymenobacter sp.	509		
A0A519T900	A0A519T900	A0A519T900_9BACT	unreviewed	Ferritin-like domain-containing protein	EOO63_03900	Hymenobacter sp.	315		
A0A519UCI1	A0A519UCI1	A0A519UCI1_9SPHI	unreviewed	SusC/RagA family protein (Fragment)	EOO94_04795	Pedobacter sp.	368		
A0A519X2P9	A0A519X2P9	A0A519X2P9_9SPHI	unreviewed	TonB-dependent receptor (Fragment)	EOO92_11135	Pedobacter sp.	850	GO:0030246	carbohydrate binding [GO:0030246]
A0A519Y155	A0A519Y155	A0A519Y155_9RHIZ	unreviewed	Porin (Fragment)	EOO66_14585	Methylobacterium sp.	465	GO:0015288; GO:0016020	membrane [GO:0016020]; porin activity [GO:0015288]
A0A520BZC1	A0A520BZC1	A0A520BZC1_9BURK	unreviewed	RNA-binding protein (Fragment)	EOP35_05920	Rubrivivax sp.	103	GO:0003676	nucleic acid binding [GO:0003676]
A0A520GPQ6	A0A520GPQ6	A0A520GPQ6_9BURK	unreviewed	Phosphate-binding protein PstS	pstS EOP76_02005	Variovorax sp.	348	GO:0035435; GO:0042301; GO:0043190	ATP-binding cassette (ABC) transporter complex [GO:0043190]; phosphate ion binding [GO:0042301]; phosphate ion transmembrane transport [GO:0035435]
A0A520I0F3	A0A520I0F3	A0A520I0F3_9SPHI	unreviewed	TonB-dependent receptor (Fragment)	EOO88_45870	Pedobacter sp.	504		
A0A521K771	A0A521K771	A0A521K771_9BACT	unreviewed	RNA-binding protein	EPO68_13075	Planctomycetes bacterium	153	GO:0003676	nucleic acid binding [GO:0003676]
A0A521NDI6	A0A521NDI6	A0A521NDI6_9BURK	unreviewed	CHRD domain-containing protein	EPO53_39905	Variovorax sp.	149		
A0A522ZZH7	A0A522ZZH7	A0A522ZZH7_9BURK	unreviewed	D-ribose ABC transporter substrate-binding protein	EPN64_09245	Burkholderiaceae bacterium	318		
A0A535C9C8	A0A535C9C8	A0A535C9C8_9CHLR	unreviewed	Peptide ABC transporter substrate-binding protein (Fragment)	E6J44_10490	Chloroflexi bacterium	553	GO:0043190; GO:0055085	ATP-binding cassette (ABC) transporter complex [GO:0043190]; transmembrane transport [GO:0055085]
A0A535CUD5	A0A535CUD5	A0A535CUD5_9CHLR	unreviewed	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	glpK E6J44_04150	Chloroflexi bacterium	498	GO:0004370; GO:0005524; GO:0006072; GO:0019563	ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; glycerol catabolic process [GO:0019563]; glycerol-3-phosphate metabolic process [GO:0006072]
A0A535F7R7	A0A535F7R7	A0A535F7R7_9CHLR	unreviewed	50S ribosomal protein L9	rplI E6J34_17325	Chloroflexi bacterium	168	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A535UPL6	A0A535UPL6	A0A535UPL6_9CHLR	unreviewed	Dihydroxyacetone kinase subunit DhaK (EC 2.7.1.121)	dhaK E6I79_04510	Chloroflexi bacterium	333	GO:0004371; GO:0006071; GO:0047324	glycerone kinase activity [GO:0004371]; phosphoenolpyruvate-glycerone phosphotransferase activity [GO:0047324]; glycerol metabolic process [GO:0006071]
A0A537M829	A0A537M829	A0A537M829_9PROT	unreviewed	TonB-dependent receptor	E6G94_04400	Alphaproteobacteria bacterium	1030	GO:0009279	cell outer membrane [GO:0009279]
A0A538NC39	A0A538NC39	A0A538NC39_9ACTN	unreviewed	DUF4331 domain-containing protein	E6F99_00125	Actinobacteria bacterium	551	GO:0016021	integral component of membrane [GO:0016021]
A0A543CM30	A0A543CM30	A0A543CM30_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES FB559_3771	Actinoallomurus bryophytorum	103	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A551ZVI2	A0A551ZVI2	A0A551ZVI2_MICAE	unreviewed	ArsA family ATPase	EWV82_19690	Microcystis aeruginosa Ma_AC_P_19900807_S299	358		
A0A552CRN2	A0A552CRN2	A0A552CRN2_9CHRO	unreviewed	ArsA family ATPase	EWV60_05815	Microcystis sp. Msp_OC_L_20101000_S702	358		
A0A552FNX4	A0A552FNX4	A0A552FNX4_MICAE	unreviewed	ArsA family ATPase	EWV57_14490	Microcystis aeruginosa Ma_QC_Ch_20071001_S25D	358		
A0A552PNI0	A0A552PNI0	A0A552PNI0_9CHRO	unreviewed	ArsA family ATPase	EWV53_18655	Microcystis panniformis Mp_MB_F_20051200_S9	358		
A0A552UAR5	A0A552UAR5	A0A552UAR5_9SPHN	unreviewed	TonB-dependent receptor	FMM06_13380	Sandarakinorhabdus sp. LB1R16	917	GO:0009279	cell outer membrane [GO:0009279]
A0A554SQG8	A0A554SQG8	A0A554SQG8_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES FNM00_02665	Aeromicrobium sp. Co35	97	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A558BLM0	A0A558BLM0	A0A558BLM0_9MICO	unreviewed	TonB-dependent receptor	FNT36_23655	Hymenobacter sp. Fur1	1147	GO:0009279	cell outer membrane [GO:0009279]
A0A559R8W4	A0A559R8W4	A0A559R8W4_9FLAO	unreviewed	Putative zinc-type alcohol dehydrogenase-like protein	JM82_1117	Olleya sp. Hel_I_94	352	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A561HVT4	A0A561HVT4	A0A561HVT4_9SPHN	unreviewed	Iron complex outermembrane receptor protein	FHW33_10357	Novosphingobium barchaimii	796	GO:0009279	cell outer membrane [GO:0009279]
A0A561IC57	A0A561IC57	A0A561IC57_9BACT	unreviewed	Carboxypeptidase family protein	FHW48_11126	Filimonas endophytica	1075	GO:0004180	carboxypeptidase activity [GO:0004180]
A0A5A5QZX3	A0A5A5QZX3	A0A5A5QZX3_MICAE	unreviewed	Arsenical pump-driving ATPase (EC 3.6.3.16)	arsA_2 MiYa_00382	Microcystis aeruginosa NIES-2519	358	GO:0016787	hydrolase activity [GO:0016787]
A0A5A7WA12	A0A5A7WA12	A0A5A7WA12_9BRAD	unreviewed	Porin	CIW50_16200	Tardiphaga sp. P9-11	508	GO:0006811; GO:0009279; GO:0015288; GO:0046930	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; porin activity [GO:0015288]; ion transport [GO:0006811]
A0A5A8APH8	A0A5A8APH8	A0A5A8APH8_9FLAO	unreviewed	Fasciclin domain-containing protein	FY557_02630	Chryseobacterium sp. SN22	189		
A0A5B8A0W8	A0A5B8A0W8	A0A5B8A0W8_9BACT	unreviewed	TonB-dependent receptor	FHG12_13335	Hymenobacter jejuensis	1069	GO:0009279	cell outer membrane [GO:0009279]
A0A5B8IEZ3	A0A5B8IEZ3	A0A5B8IEZ3_9VIRU	unreviewed	Uncharacterized protein	1_303	Mimiviridae sp. ChoanoV1	437	GO:0005198; GO:0019028	viral capsid [GO:0019028]; structural molecule activity [GO:0005198]
A0A5B8IIU5	A0A5B8IIU5	A0A5B8IIU5_9VIRU	unreviewed	Large eukaryotic DNA virus major capsid protein	5_19	Mimiviridae sp. ChoanoV1	524	GO:0005198; GO:0019028	viral capsid [GO:0019028]; structural molecule activity [GO:0005198]
A0A5B8VD51	A0A5B8VD51	A0A5B8VD51_9BACT	unreviewed	SusC/RagA family TonB-linked outer membrane protein	FRZ67_13130	Panacibacter ginsenosidivorans	992	GO:0009279	cell outer membrane [GO:0009279]
A0A5B9QU53	A0A5B9QU53	A0A5B9QU53_9BACT	unreviewed	Immunogenic protein MPT70	Pr1d_47990	Bythopirellula goksoyri	184		
A0A5C1ECC5	A0A5C1ECC5	A0A5C1ECC5_9RHOO	unreviewed	50S ribosomal protein L27	rpmA OTERR_23310	Oryzomicrobium terrae	86	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A5C1I7P2	A0A5C1I7P2	A0A5C1I7P2_9SPHI	unreviewed	TonB-dependent receptor	DEO27_031070	Mucilaginibacter rubeus	1081	GO:0030246	carbohydrate binding [GO:0030246]
A0A5C2M4T9	A0A5C2M4T9	A0A5C2M4T9_9CYAN	unreviewed	Uncharacterized protein	FFX45_01380	Thermosynechococcus sp. CL-1	84		
A0A5C4NVJ6	A0A5C4NVJ6	A0A5C4NVJ6_9BURK	unreviewed	DUF4331 domain-containing protein	FHI69_01875	Janthinobacterium lividum	499		
A0A5C6CZY1	A0A5C6CZY1	A0A5C6CZY1_9BACT	unreviewed	Immunogenic protein MPT70	Pla144_12190	Bythopirellula polymerisocia	184		
A0A5C6DZM2	A0A5C6DZM2	A0A5C6DZM2_9BACT	unreviewed	Immunogenic protein MPT70	Q31b_31080	Novipirellula aureliae	197		
A0A5C7NWU4	A0A5C7NWU4	A0A5C7NWU4_9PROT	unreviewed	PQQ-dependent dehydrogenase, methanol/ethanol family (EC 1.1.2.-)	E6Q98_05095	Rhodospirillaceae bacterium	600	GO:0005509; GO:0016020; GO:0016614; GO:0030288	membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; calcium ion binding [GO:0005509]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]
A0A5C8ULG1	A0A5C8ULG1	A0A5C8ULG1_9MICO	unreviewed	Flagellin	FVP33_13635	Lacisediminihabitans profunda	384	GO:0005198; GO:0005576; GO:0009288; GO:0071973	bacterial-type flagellum [GO:0009288]; extracellular region [GO:0005576]; structural molecule activity [GO:0005198]; bacterial-type flagellum-dependent cell motility [GO:0071973]
A0A5C8UM10	A0A5C8UM10	A0A5C8UM10_9MICO	unreviewed	Carbohydrate ABC transporter, N-acetylglucosamine/diacetylchitobiose-binding protein	ngcE FVP33_13695	Lacisediminihabitans profunda	468	GO:0016021	integral component of membrane [GO:0016021]
A0A5C8UMB5	A0A5C8UMB5	A0A5C8UMB5_9MICO	unreviewed	Cold-shock protein	FVP33_15745	Lacisediminihabitans profunda	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A5C8UMK8	A0A5C8UMK8	A0A5C8UMK8_9MICO	unreviewed	Phosphoesterase	FVP33_13275	Lacisediminihabitans profunda	959	GO:0009405; GO:0016788	hydrolase activity, acting on ester bonds [GO:0016788]; pathogenesis [GO:0009405]
A0A5C8US59	A0A5C8US59	A0A5C8US59_9MICO	unreviewed	Uncharacterized protein	FVP33_05590	Lacisediminihabitans profunda	449		
A0A5C9C4C9	A0A5C9C4C9	A0A5C9C4C9_9BACT	unreviewed	Beta-Ig-H3/fasciclin	FD136_1633	Chitinophagaceae bacterium	183		
A0A5D4HDQ8	A0A5D4HDQ8	A0A5D4HDQ8_9SPHI	unreviewed	TonB-dependent receptor	FXV77_07160	Sphingobacterium sp. SSI9	1089		
A0A5E5PQI9	A0A5E5PQI9	A0A5E5PQI9_9GAMM	unreviewed	Glutamate Aspartate periplasmic binding protein GltI (TC 3.A.1.3.4)	BPUTSESOX_2145	uncultured Gammaproteobacteria bacterium	336		
A0A5E5Q8Q8	A0A5E5Q8Q8	A0A5E5Q8Q8_9GAMM	unreviewed	Glutamate Aspartate periplasmic binding protein GltI (TC 3.A.1.3.4)	BAZOLSSOX_280	uncultured Gammaproteobacteria bacterium	336		
A0A5E7ZIW1	A0A5E7ZIW1	A0A5E7ZIW1_9RHOB	unreviewed	30S ribosomal protein S19	rpsS RV134_310060	Roseovarius sp. EC-HK134	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A5E8DDV0	A0A5E8DDV0	A0A5E8DDV0_9MICO	unreviewed	Integration host factor	B7495_17575	Cryobacterium sp. LW097	95	GO:0003677	DNA binding [GO:0003677]
A0A5F0AUD5	A0A5F0AUD5	A0A5F0AUD5_9SPHI	unreviewed	TonB-dependent receptor	E3V97_22880	Pedobacter alluvionis	1077	GO:0030246	carbohydrate binding [GO:0030246]
A0A5F0D7S6	A0A5F0D7S6	A0A5F0D7S6_9MICO	unreviewed	Integration host factor	E3O48_16070	Cryobacterium sp. HLT2-28	95	GO:0003677	DNA binding [GO:0003677]
A0A5F0DKK9	A0A5F0DKK9	A0A5F0DKK9_9MICO	unreviewed	Ferritin-like domain-containing protein	E3O59_18905	Cryobacterium sp. MDB2-33-2	315		
A0A5F0DNX0	A0A5F0DNX0	A0A5F0DNX0_9MICO	unreviewed	Integration host factor	E3O59_14240	Cryobacterium sp. MDB2-33-2	95	GO:0003677	DNA binding [GO:0003677]
A0A5F0DQJ1	A0A5F0DQJ1	A0A5F0DQJ1_9MICO	unreviewed	Amino acid ABC transporter substrate-binding protein	E3O59_07640	Cryobacterium sp. MDB2-33-2	444		
A0A5F0DZL1	A0A5F0DZL1	A0A5F0DZL1_9MICO	unreviewed	Amino acid ABC transporter substrate-binding protein	E3O46_09870	Cryobacterium sp. MDB1-5	444		
A0A5F0F377	A0A5F0F377	A0A5F0F377_9MICO	unreviewed	Phosphoesterase	E3O49_11895	Cryobacterium sp. TMT1-22	957	GO:0009405; GO:0016788	hydrolase activity, acting on ester bonds [GO:0016788]; pathogenesis [GO:0009405]
A0A5F0G124	A0A5F0G124	A0A5F0G124_9MICO	unreviewed	Integration host factor	E3T25_15955	Cryobacterium sp. TMT2-16	95	GO:0003677	DNA binding [GO:0003677]
A0A5J4FCP3	A0A5J4FCP3	A0A5J4FCP3_MICAE	unreviewed	Uncharacterized protein	MiAbW_03543	Microcystis aeruginosa NIES-4325	358		
A0A5J4KKN6	A0A5J4KKN6	A0A5J4KKN6_9CHLR	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL1_2 groEL groL KDW_25870	Dictyobacter vulcani	541	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A5J5IGS5	A0A5J5IGS5	A0A5J5IGS5_9BACT	unreviewed	SusC/RagA family TonB-linked outer membrane protein	FW778_15595	Ginsengibacter hankyongi	989	GO:0009279	cell outer membrane [GO:0009279]
A0A5J5IIH8	A0A5J5IIH8	A0A5J5IIH8_9BACT	unreviewed	TonB-dependent receptor	FW778_01460	Ginsengibacter hankyongi	1107		
A0A5M6IWH9	A0A5M6IWH9	A0A5M6IWH9_9PROT	unreviewed	30S ribosomal protein S19	rpsS F1189_10535	Rhodovastum atsumiense	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A5M8ZB11	A0A5M8ZB11	A0A5M8ZB11_9PROT	unreviewed	OmpA family protein	FKW31_09425	Acetobacter sp. DmW_136	376	GO:0009279	cell outer membrane [GO:0009279]
A0A5P9HX14	A0A5P9HX14	A0A5P9HX14_9RHOB	unreviewed	30S ribosomal protein S19	rpsS FIU86_03480	Roseovarius sp. THAF9	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A5P9Q5T0	A0A5P9Q5T0	A0A5P9Q5T0_9MICO	unreviewed	Alpha-glucosides-binding periplasmic protein AglE	KDY119_00231	Luteimicrobium xylanilyticum	455		
A0A5Q2FDH3	A0A5Q2FDH3	A0A5Q2FDH3_9ACTN	unreviewed	Phosphoesterase	Rai3103_07110	Raineyella sp. CBA3103	975	GO:0003824	catalytic activity [GO:0003824]
A0A5Q4H7Q5	A0A5Q4H7Q5	A0A5Q4H7Q5_9CYAN	unreviewed	Cell division protein SepF	sepF EA414_17280	Arthrospira sp. PLM2.Bin9	205	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A5S3T5N8	A0A5S3T5N8	A0A5S3T5N8_9GAMM	unreviewed	Fasciclin	CWC30_10375	Pseudoalteromonas sp. S4741	166		
A0A5S3W1Y2	A0A5S3W1Y2	A0A5S3W1Y2_9GAMM	unreviewed	Fasciclin	CWC14_01730	Pseudoalteromonas sp. S3260	166		
A0A645JF17	A0A645JF17	A0A645JF17_9ZZZZ	unreviewed	50S ribosomal protein L27	rpmA_49 SDC9_209822	bioreactor metagenome	87	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A653TRF6	A0A653TRF6	A0A653TRF6_9MICO	unreviewed	30S ribosomal protein S8	rpsH FRIGORI9N_440029	Frigoribacterium sp. 9N	146	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A653V6E7	A0A653V6E7	A0A653V6E7_9MICO	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groES groS FRIGORI9N_50023	Frigoribacterium sp. 9N	98	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A659EYI1	A0A659EYI1	A0A659EYI1_9MICO	unreviewed	Integration host factor	E3T32_09680	Cryobacterium sp. TMT2-23	95	GO:0003677	DNA binding [GO:0003677]
A0A659EYV2	A0A659EYV2	A0A659EYV2_9MICO	unreviewed	Phosphoesterase	E3T32_13015	Cryobacterium sp. TMT2-23	957	GO:0009405; GO:0016788	hydrolase activity, acting on ester bonds [GO:0016788]; pathogenesis [GO:0009405]
A0A661W0S0	A0A661W0S0	A0A661W0S0_9CHLR	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL DRI37_05890	Chloroflexi bacterium	548	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A679JIY2	A0A679JIY2	A0A679JIY2_VARPD	unreviewed	CHRD domain-containing protein	VVAX_03643	Variovorax paradoxus	149		
A0A6B2R7C7	A0A6B2R7C7	A0A6B2R7C7_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES G3I36_07080	Streptomyces sp. SID10362	102	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A6B2YFW7	A0A6B2YFW7	A0A6B2YFW7_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES G3I62_20685	Streptomyces sp. SID14446	102	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A6D1V5U7	A0A6D1V5U7	A0A6D1V5U7_9MICO	unreviewed	Ferritin-like domain-containing protein	E3O50_14850	Cryobacterium sp. MDB1-18-1	315		
A0A6D1V8J5	A0A6D1V8J5	A0A6D1V8J5_9MICO	unreviewed	Amino acid ABC transporter substrate-binding protein	E3O50_10480	Cryobacterium sp. MDB1-18-1	444		
A0A6D1VCC6	A0A6D1VCC6	A0A6D1VCC6_9MICO	unreviewed	Integration host factor	E3O50_03930	Cryobacterium sp. MDB1-18-1	95	GO:0003677	DNA binding [GO:0003677]
A0A6G2IJM5	A0A6G2IJM5	A0A6G2IJM5_9ACTN	unreviewed	Dihydroxyacetone kinase subunit DhaK (EC 2.7.1.121)	dhaK GR925_32995	Streptomyces sp. HUCO-GS316	330	GO:0004371; GO:0006071; GO:0047324	glycerone kinase activity [GO:0004371]; phosphoenolpyruvate-glycerone phosphotransferase activity [GO:0047324]; glycerol metabolic process [GO:0006071]
A0A6G7BZV1	A0A6G7BZV1	A0A6G7BZV1_9SPHI	unreviewed	TonB-dependent receptor	G6053_21990	Sphingobacterium sp. DR205	1091	GO:0030246	carbohydrate binding [GO:0030246]
A0A6G9IF42	A0A6G9IF42	A0A6G9IF42_9VIRI	unreviewed	ATP synthase subunit 9, mitochondrial	atp9	Gonatozygon brebissonii	73	GO:0008289; GO:0015078; GO:0015986; GO:0016021; GO:0031966; GO:0045263	integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; lipid binding [GO:0008289]; proton transmembrane transporter activity [GO:0015078]; ATP synthesis coupled proton transport [GO:0015986]
A0A6G9IGJ3	A0A6G9IGJ3	A0A6G9IGJ3_9VIRI	unreviewed	ATP synthase subunit 9, mitochondrial	atp9	Roya anglica	73	GO:0008289; GO:0015078; GO:0015986; GO:0016021; GO:0031966; GO:0045263	integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; lipid binding [GO:0008289]; proton transmembrane transporter activity [GO:0015078]; ATP synthesis coupled proton transport [GO:0015986]
A0A6H2C075	A0A6H2C075	A0A6H2C075_DOLFA	unreviewed	Cell division protein SepF	sepF HGD76_12295	Dolichospermum flos-aquae CCAP 1403/13F	200	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A6H2C5E1	A0A6H2C5E1	A0A6H2C5E1_DOLFA	unreviewed	Uncharacterized protein	HGD76_22495	Dolichospermum flos-aquae CCAP 1403/13F	82		
A0A6H3J027	A0A6H3J027	A0A6H3J027_9MICO	unreviewed	Amino acid ABC transporter substrate-binding protein	E3O51_14440	Cryobacterium sp. MDB2-10	444		
A0A6H3J3J0	A0A6H3J3J0	A0A6H3J3J0_9MICO	unreviewed	Fn3_like domain-containing protein	E3O51_08015	Cryobacterium sp. MDB2-10	1012	GO:0004553; GO:0005975; GO:0016021	integral component of membrane [GO:0016021]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]
A0A6H3JGY0	A0A6H3JGY0	A0A6H3JGY0_9MICO	unreviewed	Integration host factor	E3O51_13305	Cryobacterium sp. MDB2-10	95	GO:0003677	DNA binding [GO:0003677]
A0A6H3JMM2	A0A6H3JMM2	A0A6H3JMM2_9MICO	unreviewed	Integration host factor	E3O18_04155	Cryobacterium sp. TMT2-42-4	95	GO:0003677	DNA binding [GO:0003677]
A0A6H3JTC2	A0A6H3JTC2	A0A6H3JTC2_9MICO	unreviewed	Integration host factor	E3O68_00070	Cryobacterium sp. TMB3-1-2	95	GO:0003677	DNA binding [GO:0003677]
A0A6H3JZT1	A0A6H3JZT1	A0A6H3JZT1_9MICO	unreviewed	Phosphoesterase	E3T37_14925	Cryobacterium sp. TMT2-10	957	GO:0009405; GO:0016788	hydrolase activity, acting on ester bonds [GO:0016788]; pathogenesis [GO:0009405]
